state,name,uf,inserted_at,updated_at
Tocantins,Alvorada,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Bossoroca,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Sao Geraldo do Araguaia,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Paes Landim,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Valentim Gentil,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Bom Jesus,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Florestal,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Bayeux,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Narandiba,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Sao Tiago,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Santo Antonio da Platina,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Tupanci do Sul,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Tabuleiro,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Humberto de Campos,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Nova Iguacu de Goias,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Santa Salete,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Itumirim,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Taquarana,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Para,Trairao,PA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Boqueirao do Piaui,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Araguari,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Sao Domingos do Maranhao,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Ibiara,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Pio IX,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Peri Mirim,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Pernambuco,Altinho,PE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Vila Valerio,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Norte,Patu,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sergipe,Gararu,SE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Boa Esperanca do Sul,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Imbe,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Araguapaz,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Osvaldo Cruz,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Atalaia,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Paraiba,Algodao de Jandaira,PB,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Manoel Ribas,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Central do Maranhao,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
